Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Arctonoe pulchra,"(Johnson, 1897)",,red commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,Arctonoe,native,unlisted,confirmed,observed,1975-06-18,T. Kessler,RBCM,975-00227-003,1898314750,2019-05-04,Norah Brown,https://www.inaturalist.org/observations/24535513,,465156,
Arctonoe vittata,"(Grube, 1855)",,red-banded commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,Arctonoe,native,unlisted,reported,unobserved,1975-06-18,T. Kessler,RBCM,975-00227-002,1898294448,,,,,122163,
Halosydna brevisetosa,"Kinberg, 1856",,eighteen-scaled worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Lepidonotinae,Halosydna,native,unlisted,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2019-05-05,Dave Metzger,https://www.inaturalist.org/observations/25586752,,71236,
Harmothoe fragilis,"Moore, 1910",,chocolate & white scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Polynoinae,Harmothoe,native,unlisted,reported,unobserved,2012-10-06,Andy Lamb,PMLS,,,,,,,873903,
Epigamia cf alexandri,,,noble necklace worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Autolytinae,Epigamia,non-native,unlisted,reported,unobserved,1986-09-30,,RBCM,986-00197-018,1898293180,,,,,1136117,Valid species but an older European name that is most probably not here. What is here is Epigamia magna (Berkeley 1923)
Trypanedenta gemmipara,"(Johnson, 1901)",,brown jewel necklace worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Syllinae,Trypanedenta,native,unlisted,reported,unobserved,1986-09-30,,RBCM,986-00197-017,1898311580,,,,,1136121,
Trypanosyllis sp.,,,necklace-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Syllinae,Trypanosyllis,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,195014,
Tomopteris pacifica,"Izuka, 1914",,tailed Pacific transparent-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Tomopteridae,,Tomopteris,native,unlisted,reported,unobserved,2010-05-30,Andy Lamb,PMLS,,,,,,,693689,
Bispira sp.,,,twin-eyed feather duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,Sabellinae,Acromegalomma,,,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,781286,
Neosabellaria cementarium,"(Moore, 1906)",,cemented sandmason tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,,Neosabellaria,native,unlisted,reported,unobserved,1996-09-28,Charlie Gibbs,PMLS,,,,,,reported as Sabellaria cementarium,339237,
Chone aurantiaca,"(Johnson, 1901)",,orange feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Chone,native,unlisted,reported,unobserved,1999-05-04,Andy Lamb,PMLS,,,,,,,356415,
Eudistylia vancouveri,"(Kinberg, 1866)",,Vancouver feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Eudistylia,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2015-01-01,Peter Luckham,http://www.inaturalist.org/observations/2797277,,84864,
Myxicola sp.A,Harris (provisional species name),,petite slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Myxicola,native,unlisted,reported,unobserved,2018-06-19,Andy Lamb,PMLS,,,,,,,49534,"""Myxicola aesthetica""— In Europe M. infundibulum is found in soft-sediments & M. aesthetica is the one hanging from docks & hard-surfaces. If our NEP specimens are really the same as a European species they would be M. infundibulum. However, our NEP specimens are distinctly different both morphologically & genetically from infundibulum. In the past several NEP species of Myxicola were described from California, Puget Sound, & Alaska. All of the original specimens need to be re-examined so we can decide what name (or names) to use in the NEP"
Myxicola sp.B,Harris (provisional species name),,slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Myxicola,native,unlisted,reported,unobserved,1993-05-09,Charlie Gibbs,PMLS,,,,,,,49534,"""Myxicola infundibulum""— In Europe M. infundibulum is found in soft-sediments & M. aesthetica is the one hanging from docks & hard-surfaces. If our NEP specimens are really the same as a European species they would be M. infundibulum. However, our NEP specimens are distinctly different both morphologically & genetically from infundibulum. In the past several NEP species of Myxicola were described from California, Puget Sound, & Alaska. All of the original specimens need to be re-examined so we can decide what name (or names) to use in the NEP"
Parasabella media,Bush 1905,,parasol feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Parasabella,native,unlisted,confirmed,observed,1994-09-10,Andy Lamb,PMLS,,,2021-03-10,Andrew Simon,https://inaturalist.ca/observations/70981826,,367054,
Pseudopotamilla occelata,"Moore, 1905",,feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Pseudopotamilla,native,unlisted,reported,unobserved,1986-09-30,,RBCM,1986-09-30,1898311898,,,,,485471,
Schizobranchia insignis,"Bush, 1905",,split-branch feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Schizobranchia,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7674363,,339561,
Apomatus geniculatus,"(Moore & Bush, 1904)",,pearl-topped calcareous worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Apomatus,native,unlisted,reported,unobserved,2007-10-14,Andy Lamb,PMLS,,,,,,,939557,
Crucigera zygophora,"(Johnson, 1901)",,pale calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Crucigera,native,unlisted,reported,unobserved,1986-09-30,,RBCM,,,,,,,543574,
Pileolaria spp.,,,dwarf calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,Spirorbinae,Pileolaria,,,reported,unobserved,1994-10-23,Andy Lamb,PMLS,,,,,,,533325,
Protula pacifica,"Pixell, 1912",,white-crown calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Protula,native,unlisted,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,,,,,,538108,
Pseudochitinopoma occidentalis,"(Bush, 1905)",,western calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Pseudochitinopoma,native,unlisted,reported,unobserved,2006-03-05,Andy Lamb,PMLS,,,,,,,538107,
Salmacina tribranchiata,"(Moore, 1923)",,three-branch calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Salmacina,native,unlisted,reported,unobserved,2006-11-18,Andy Lamb,PMLS,,,,,,,194972,
Serpula columbiana,"Johnson, 1901",,red-trumpet calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Serpula,native,unlisted,confirmed,observed,1986-04-08,,RBCM,986-00191-010,,2015-09-25,Karolle Wall,http://www.inaturalist.org/observations/3706037,,131207,Listed in older references as Serpula vermicularis which is a valid species but now restricted in range to Europe
Cirratulus spectabilis,"(Kinberg, 1866)",,red threads worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,Cirratulus,native,unlisted,reported,unobserved,1986-09-30,,RBCM,986-00197-064,1898288225,,,,,1136116,
Dodecaceria concharum,"Örsted, 1843",,coralline-encased filament-worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,Dodecaceria,non-native,unlisted,confirmed,observed,1999-07-31,Charlie Gibbs,PMLS,,,2021-01-09,Andrew Simon,https://www.inaturalist.org/observations/67834429,,464813,"D. fewkesi creates its own calcareous tube while D. concharum burrows into calcareous substrates. D. concharum is a European species that might be here, might not, but it will take DNA to be sure."
Dodecaceria fewkesi,"Berkeley & Berkeley, 1954",,fringed filament-worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,Dodecaceria,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763488,,192656,"D. fewkesi creates its own calcareous tube while D. concharum burrows into calcareous substrates. D. concharum is a European species that might be here, might not, but it will take DNA to be sure."
Neoleprea spiralis,"(Johnson, 1901)",,spaghetti worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,Terebellidae,Terebellinae,Neoleprea,native,unlisted,reported,unobserved,1986-09-30,,RBCM,986-00197-015,1898316402,,,,,1136118,
Pista elongata,"Moore, 1909",,basket-top spaghetti worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,Terebellomorpha,,Terebellidae,Terebellinae,Pista,native,unlisted,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,,,,,,338339,
Thelepus sp.,,,curly-head spaghetti worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,Terebellidae,Thelepodinae,Thelepus,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,117588,
Chaetopterus variopedatus complex,"Cuvier, 1827",,U-shaped parchment tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,Chaetopterus,,,reported,unobserved,2006-03-05,Andy Lamb,PMLS,,,,,,,171303,Chaetopterus does occur in the region but which species has not yet been documented
Spiochaetopterus costarum pottsi,"(Berkeley, 1927)",,jointed three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,Spiochaetopterus,native,unlisted,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,,,,,misspelled Spiochaeopterus costarum,552559,
Sagittoidea,,,arrow worm,Animalia,Chaetognatha,,,Sagittoidea,,,,,,,,,,,reported,unobserved,1995-02-23,Charlie Gibbs,PMLS,,,,,,,246116,"PMLS records of Parasagitta elegans cannot be confirmed. Eukrohnia hamata Mijbius (1875) has been documented within the Salish Sea, where it occurs infrequently, being an oceanic species occasionally borne in by the intrusion of offshore waters"
Emplectonema gracile,"(Johnston, 1837)",,green ribbon worm,Animalia,Nemertea,,,Hoplonemertea,,,Monostilifera,Eumonostilifera,,Emplectonematidae,,Emplectonema,native,unlisted,reported,unobserved,1969-02-22,Andy Lamb,PMLS,,,,,,,337279,
Paranemertes peregrina,"Coe, 1901",,purple ribbon worm,Animalia,Nemertea,,,Hoplonemertea,,,Monostilifera,Eumonostilifera,,Neesidae,,Paranemertes,native,unlisted,new 2019,observed,,,,,,2019-05-04,Dave Metzger,https://inaturalist.ca/observations/25587683,,51284,
Tubulanus albocinctus,"(Coe, 1904)",,white-ringed ribbon worm,Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,Tubulanidae,,Tubulanus,native,unlisted,reported,unobserved,1996-05-29,Charlie Gibbs,PMLS,,,,,,,873878,
Tubulanus polymorphus,"Renier, 1804",,orange ribbon worm,Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,Tubulanidae,,Tubulanus,native,unlisted,confirmed,observed,2008-08-23,Andy Lamb,PMLS,,,2017-05-27,Karolle Wall,https://www.inaturalist.org/observations/7648049,,117581,
Tubulanus sexlineatus,"(Griffin, 1898)",,six-lined ribbon worm,Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,Tubulanidae,,Tubulanus,native,unlisted,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2018-08-10,Karolle Wall,https://www.inaturalist.org/observations/15660001,,121950,
Micrura verrilli,"Coe, 1901",,purple ribbon worm,Animalia,Nemertea,,,Pilidiophora,,,Heteronemertea,,,Lineidae,,Micrura,native,unlisted,reported,unobserved,2006-09-28,Andy Lamb,PMLS,,,,,,,117598,
Eurylepta leoparda,"Freeman, 1933",,spotted flatworm,Animalia,Platyhelminthes,Rhabditophora,,,,,Polycladida,Cotylea,,Euryleptidae,,Eurylepta,native,unlisted,confirmed,observed,1996-09-28,Charlie Gibbs,PMLS,,,2015-04-22,Karolle Wall,http://www.inaturalist.org/observations/4028701,,447179,
Kaburakia excelsa,"Bock, 1925",,giant flatworm,Animalia,Platyhelminthes,Rhabditophora,,,,,Polycladida,Acotylea,Stylochoidea,Stylochidae,,Kaburakia,native,unlisted,confirmed,observed,2016-07-24,Andy Lamb,PMLS,,,2019-04-27,Andrew Simon,https://www.inaturalist.org/observations/24259233,,56699,
Golfingia vulgaris,"(de Blainville, 1827)",,brown peanut worm,Animalia,Sipuncula,,,Sipunculidea,,,Golfingiida,,,Golfingiidae,,Golfingia,native,unlisted,reported,unobserved,2007-12-15,Andy Lamb,PMLS,,,,,,,874030,
