Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Dactylis glomerata,L.,,orchard grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Dactylis,glomerata,,,,exotic,unlisted,,confirmed,observed,1979-06-08,Harvey Janszen,RBCM,V097880,,2015-05-17,Andrew Simon,http://www.inaturalist.org/observations/2621743,,52720,VAS
Danthonia californica,Bol.,,California oatgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,californica,,,,native,S5,,confirmed,observed,1981-07-16,Harvey Janszen,RBCM,V113798,1949562663,2017-05-29,Andrew Simon,https://www.inaturalist.org/observations/6434812,,57165,VAS
Danthonia decumbens,(L.) DC.,,mountain heath grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,decumbens,,,,exotic,unlisted,,new 2022,observed,2022-06-10,Frank Lomer,UBC,13000,,2022-06-12,Andrew Simon & Frank Lomer,https://www.inaturalist.org/observations/121538436,Frank Lomer also reports Danthonia decumbens x californica (more study needed),76603,VAS
Danthonia intermedia,Vasey,,timber oatgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Danthonioideae,Danthonieae,Danthonia,intermedia,,,,native,S5,,new 2017,unobserved,2017-05-27,J. & K. Miskelly,Bioblitz Galiano2017,,,,,,,76604,VAS
Daphne laureola,L.,,spurge-laurel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Malvales,,,Thymelaeaceae,,,Daphne,laureola,,,,exotic,unlisted,,confirmed,observed,1989-04-06,Gerald Straley & K. Nichols,RBCM,V144086,1949593139,2016-01-20,Andrew Simon,http://www.inaturalist.org/observations/2602959,,127391,VAS
Datura stramonium,L.,,jimsonweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Solanales,,,Solanaceae,,,Datura,stramonium,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-10-24,Colleen Doty,http://www.inaturalist.org/observations/4430121,,55854,VAS
Daucus carota,L.,,wild carrot,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,,,Daucus,carota,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-07-09,Andrew Simon,http://www.inaturalist.org/observations/3652719,,76610,VAS
Daucus pusillus,Michx.,,American wild carrot,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,,,Daucus,pusillus,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-04-04,Andrew Simon,http://www.inaturalist.org/observations/2567452,,56726,VAS
Delphinium menziesii,DC.,,Menzies' larkspur,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Ranunculaceae,,,Delphinium,menziesii,,,,native,S5,,confirmed,observed,1981-05-07,Harvey Janszen,RBCM,V113531,,2013-04-27,Felix Erhard,http://www.inaturalist.org/observations/2588491,,153479,VAS
Deschampsia cespitosa,(L.) P.Beauv.,,tufted hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Deschampsia,cespitosa,,,,native,S5 (2020),,new 2016,observed,,,,,,2016-06-19,Andrew Simon,https://www.inaturalist.org/observations/3498298,,76639,VAS
Deschampsia danthonioides,(Trin.) Benth.,,annual hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Deschampsia,danthonioides,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2022-06-08,Andrew Simon & Frank Lomer,https://www.inaturalist.org/observations/120889612,,57164,VAS
Deschampsia elongata,(Hook.) Munro,,slender hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Deschampsia,elongata,,,,native,S5,,confirmed,observed,1986-08-16,William J. Crins,UBC,V191353,,2020-06-26,Andrew Simon,https://www.inaturalist.org/observations/52033139,,52722,VAS
Dianthus armeria,L.,,Deptford pink,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Dianthus,armeria,,,,exotic,unlisted,,confirmed,observed,1975-07-18,Harvey Janszen,RBCM,V083231,1949532176,2018-07-09,Andrew Simon,https://www.inaturalist.org/observations/14220758,,64541,VAS
Digitalis purpurea,L.,,common foxglove,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Plantaginaceae,,,Digitalis,purpurea,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2010-06-15,Shera Street,http://www.inaturalist.org/observations/2635129,,53983,VAS
Dipsacus fullonum,L.,,Fuller's teasel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Dipsacales,,,Caprifoliaceae,Dipsacoideae,,Dipsacus,fullonum,,,,exotic,unlisted,,new 2017,observed,2017-05-27,Alexander J. Wright,Bioblitz Galiano2017,,,2017-10-27,Kevin Toomer,https://www.inaturalist.org/observations/8581801,,56002,VAS
Distichlis spicata,(L.) Greene,,alkali saltgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Chloridoideae,,Distichlis,spicata,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-06-19,Andrew Simon,http://www.inaturalist.org/observations/3498205,,58372,VAS
Draba nemorosa,L.,,woods draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Draba,nemorosa,,,,native,S5,,reported,unobserved,1930-04-13,W. A. Newcombe,RBCM,V8914,,,,,in the collection at the RBCM; not yet digitized,76704,VAS
Draba verna,L.,,common draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Draba,verna,,,,exotic,unlisted,,confirmed,observed,1989-04-06,Gerald B. Straley,UBC,V197706,,2016-02-12,Andrew Simon,http://www.inaturalist.org/observations/2677436,,55823,VAS
Drosera rotundifolia,L.,,round-leaved sundew,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Droseraceae,,,Drosera,rotundifolia,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2016-04-01,Andrew Simon,http://www.inaturalist.org/observations/2865591,,52658,VAS
Dryopteris expansa,(C. Presl) Fraser-Jenk. & Jermy,,spiny wood fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,,,Dryopteridaceae,,,Dryopteris,expansa,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-29,"Alison, Laura and Malcolm Colwell",http://www.inaturalist.org/observations/3336189,,64055,VAS
Dulichium arundinaceum,(L.) Britton,,three-way sedge,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,,,Dulichium,arundinaceum,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2020-08-05,Andrew Simon,https://www.inaturalist.org/observations/55633565,,76745,VAS
Echinochloa crus-galli,(L.) P.Beauv.,,barnyardgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,Paniceae,Echinochloa,crus-galli,,,,exotic,unlisted,,new 2022,observed,,,,,,2022-08-29,Adam Huggins,https://www.inaturalist.org/observations/133277968,,60283,VAS
Echinops sphaerocephalus,L.,,great globethistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Carduoideae,,Echinops,sphaerocephalus,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-07-14,Andrew Simon,https://www.inaturalist.org/observations/14367578,remove; garden,76762,VAS
Echium vulgare,L.,,viper's bugloss,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Boraginoidea,,Echium,vulgare,,,,exotic,unlisted,,confirmed,observed,1975-08-04,Angela Wood,RBCM,V097740,1949546755,2020-06-11,Ed Andrusiak,https://www.inaturalist.org/observations/50324752,Sturdies Bay; roadside,56174,VAS
Eleocharis obtusa,(Willd.) Schult.,,blunt spike-rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,,,Eleocharis,obtusa,,,,native,S5,,new 2017,observed,,,,,,2017-08-13,Tyson Ehlers,https://www.inaturalist.org/observations/8900313,,76779,VAS
Eleocharis palustris,(L.) Roem. & Schult.,,common spike-rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,,,Eleocharis,palustris,,,,native,S5,,confirmed,observed,1978-07-26,Christopher Clement,RBCM,V111294,1949560166,2016-06-05,Andrew Simon,http://www.inaturalist.org/observations/3414240,,1419558,VAS
Elodea canadensis,Michx.,,Canadian waterweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Hydrocharitaceae,,,Elodea,canadensis,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-08-13,Andrew Simon,http://www.inaturalist.org/observations/3881936,,76793,VAS
Elymus glaucus ssp. glaucus,Buckley,,blue wildrye,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Elymus,glaucus,,,,native,S5,,confirmed,observed,1975-05-31,Angela Wood,RBCM,V097388,1949546388,2016-05-25,Adam Huggins,http://www.inaturalist.org/observations/3319011,,57171,VAS
Elymus repens,(L.) Gould,,quack grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Elymus,repens,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2022-07-07,Adam Huggins,https://www.inaturalist.org/observations/125189744,,60284,VAS
Empetrum nigrum,L.,,crowberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Ericoideae,,Empetrum,nigrum,,,,native,S5,,new 2016,observed,2022-06-13,Frank Lomer,UBC,13043,,2016-08-14,Adam Huggins,http://www.inaturalist.org/observations/3889081,,76812,VAS
Epilobium brachycarpum,C. Presl,,tall annual willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Epilobium,brachycarpum,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-07-25,Adam Huggins,https://www.inaturalist.org/observations/14770798,,52971,VAS
Epilobium ciliatum,Raf.,,Purple-leaved Willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Epilobium,ciliatum,,,,native,S5,,confirmed,observed,1986-08-16,William J. Crins,UBC,V190905,,2016-07-21,Andrew Simon,http://www.inaturalist.org/observations/3719859,Crins' voucher is annotated 'Epilobium watsonii var. occidentale' —Voucher reviewed and annotated Epilobium ciliatum; ‘Epilobium ciliatum ssp. watsonii’ also reported for Laughlin Lake by Keith Erickson & Steven Gates (2002),53050,VAS
Epilobium densiflorum,(Lindl.) Hoch & P.H. Raven,,dense spike-primrose,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Epilobium,densiflorum,,,,native,S2 (2019),1-E (2006),new 2016,observed,,,,,,2016-07-20,Adam Huggins,http://www.inaturalist.org/observations/3711497,Previously thought to have been extirpated from the southern Gulf Islands.,57149,VAS
Epilobium foliosum,(Torr. & A. Gray) Suksd.,,foliose willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Epilobium,foliosum,,,,native,S5,,new 2017,observed,,,,,,2016-05-09,Andrew Simon,http://www.inaturalist.org/observations/3649882,,76829,VAS
Epilobium halleanum,Hausskn.,,white-flowered willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Epilobium,halleanum,,,,native,,,new 2022,unobserved,2022-06-10,Frank Lomer,UBC,13009,,,,,,76834,VAS
Epilobium leptophyllum,Raf.,,linear-leaved willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Epilobium,leptophyllum,,,,native,S5 (2019),,new 2022,observed,,,,,,2022-06-14,Andrew Simon & Frank Lomer,https://www.inaturalist.org/observations/121838584,,76835,VAS
Epilobium minutum,Lindl. ex Lehm.,,small-flowered willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Epilobium,minutum,,,,native,S5,,confirmed,observed,1986-08-16,William J. Crins,UBC,V191349,,2015-04-04,Andrew Simon,http://www.inaturalist.org/observations/2567455,,57150,VAS
Epipactis helleborine,(L.) Crantz,,broad-leaved helleborine,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Neottieae,Epipactis,helleborine,,,,exotic,unlisted,,new 2016,observed,,,,,,2016-05-29,"Alison, Laura and Malcolm Colwell",http://www.inaturalist.org/observations/3335437,,50717,VAS
Equisetum arvense,L.,,common horsetail,Plantae,Tracheophyta,,,Equisetopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,Equisetum,arvense,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-03-13,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2589232,,52724,VAS
Equisetum hyemale ssp. affine,L.,(Engelm.) Calder & Roy L. Taylor,scouring-rush,Plantae,Tracheophyta,,,Equisetopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,Equisetum,hyemale,,affine,,native,S5,,confirmed,observed,1981-01-01,Harvey Janszen,RBCM,V113848,,2015-07-02,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2561787,,53910,VAS
Equisetum telmateia ssp. braunii,Ehrh.,(J. Milde) Hauke,giant horsetail,Plantae,Tracheophyta,,,Equisetopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,Equisetum,telmateia,,braunii,,native,S5,,confirmed,observed,1980-04-11,Harvey Janszen,RBCM,V107516,,2015-02-22,Andrew Simon,http://www.inaturalist.org/observations/2566305,,57032,VAS
Erigeron canadensis,L.,,horseweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Erigeron,canadensis,,,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,reported as Conyza canadensis var. glabrata,76907,VAS
Eriocoma lemmonii,(Vasey) Romasch.,,Lemmon's needlegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Stipeae,Eriocoma,lemmonii,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2017-05-26,Andrew Simon,https://www.inaturalist.org/observations/6411590,reported as Achnatherum lemmonii var. lemmonii,1220721,VAS
Eriophorum chamissonis,C.A. Mey.,,Chamisso's cotton-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,,,Eriophorum,chamissonis,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2016-05-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3296238,,162678,VAS
Eriophorum gracile,Koch,,slender cotton-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,,,Eriophorum,gracile,,,,native,S5,,new 2017,observed,,,,,,2017-05-27,Judith Holm,https://www.inaturalist.org/observations/6417606,Eriophorum angustifolium misapplied by H. Roemer (2000),77045,VAS
Eriophyllum lanatum var. leucophyllum,(Pursh) J. Forbes,(DC.) W.R. Carter,woolly eriophyllum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Eriophyllum,lanatum,,,leucophyllum,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2625029,,240700,VAS
Erodium cicutarium ssp. cicutarium,(L.) L'Hér. ex Aiton,,common stork's bill,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Geraniales,,,Geraniaceae,,,Erodium,cicutarium,,,,exotic,unlisted,,confirmed,observed,1980-04-02,Harvey Janszen,RBCM,V107373,1949555982,2016-03-28,Andrew Simon,http://www.inaturalist.org/observations/2843467,,53055,VAS
Erysimum cheiranthoides,L.,,wormseed mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,Erysimeae,Erysimum,cheiranthoides,,,,exotic,unlisted,,reported,unobserved,1981-07-07,Harvey Janszen,RBCM,V113824,1949562959,,,,sedge fen,77068,VAS
Erythranthe alsinoides,(Douglas ex Benth.) G.L. Nesom & N.S. Fraga,,chickweed monkey-flower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Phrymaceae,,,Erythranthe,alsinoides,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2012-04-13,Brian Starzomski,https://www.inaturalist.org/observations/22396984,Reported as Mimulus alsinoides,771843,VAS
Erythranthe cf guttata,(Fisch. ex DC.) G.L. Nesom,,seep monkeyflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Phrymaceae,,,Erythranthe,guttata,,,,native,S5,,confirmed,observed,1975-05-13,Angela Wood,RBCM,V097336,1949546491,2017-05-19,Andrew Simon,https://www.inaturalist.org/observations/6425142,Reported as Mimulus guttatus; acc. to Nesom's treatment this should be annotated Erythranthe cf guttata as the material represented isn't a rhizomatous perennial,470643,VAS
Erythranthe microphylla,(Benth.) Nesom,,small-leaved monkey-flower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Phrymaceae,,,Erythranthe,microphylla,,,,native,S5,,new 2017,observed,,,,,,2017-05-13,Andrew Simon,https://www.inaturalist.org/observations/6217952,,453717,VAS
Erythranthe moschata,(Douglas ex Lindl.) G.L. Nesom,,musk-flower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Phrymaceae,,,Erythranthe,moschata,,,,native,S5,,confirmed,observed,1986-08-16,William J. Crins,UBC,V191355,,2015-06-05,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2563623,Reported as Mimulus moschatus,453644,VAS
Erythranthe nasuta,(Greene) Nesom,,little yellow monkey-flower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Phrymaceae,,,Erythranthe,nasuta,,,,native,S4S5,,confirmed,observed,1993-05-19,Bev Benedict,UBC,V207931,,2017-03-23,Andrew Simon,https://www.inaturalist.org/observations/5450371,,545973,VAS
Erythranthe sookensis,"B.G. Benedict, Modlisz, Sweigart, N.H. Martin, Ganders & John H. Willis",,shy monkeyflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Phrymaceae,,,Erythranthe,sookensis,,,,native,S5,,confirmed,observed,1975-05-12,Angela Wood,RBCM,V097333,1949546303,2021-04-15,Andrew Simon,https://www.inaturalist.org/observations/74104790,a hybrid between E. nasuta and E. microphyllum unrecognized in Nesom's treatment of Erythranthe; identification? –QC,865336,VAS
Erythronium oregonum,Applegate,,white fawn lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,Lilieae,Erythronium,oregonum,,,,native,S4,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2012-04-09,Nancy Woodham,http://inaturalist.ca/observations/6410636,,59520,VAS
Erythronium revolutum × Erythronium oregonum,,,hybrid fawn lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,Lilieae,Erythronium,,Erythronium revolutum × Erythronium oregonum,,,native,S5?,,new 2016,observed,,,,,,2016-05-23,Kristian Sigvardsen,http://inaturalist.ca/observations/3287322,hybrid (outside range of E. revolutum),888456,VAS
Eschscholzia californica,Cham.,,California poppy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Papaveraceae,,,Eschscholzia,californica,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2020-05-18,Andrew Simon,https://www.inaturalist.org/observations/46413709,persistent adventive,48225,VAS
Euphorbia cyparissias,L.,,cypress spurge,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Malpighiales,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,cyparissias,,,,exotic,unlisted,,new 2017,observed,,,,,,2017-05-08,Andrew Simon,https://www.inaturalist.org/observations/6217454,,55766,VAS
Euphorbia myrsinites,L.,,donkey tail,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Malpighiales,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,myrsinites,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-05-04,Aimee Pelletier,https://www.inaturalist.org/observations/25479034,,82511,VAS
Euphorbia peplus,L.,,petty spurge,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Malpighiales,,,Euphorbiaceae,Euphorbioideae,Euphorbieae,Euphorbia,peplus,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-06-02,Andrew Simon,http://www.inaturalist.org/observations/3382906,,57036,VAS
Euphrasia nemorosa,Wettst.,,common eyebright,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Orobanchaceae,,,Euphrasia,nemorosa,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-08-13,Andrew Simon,http://www.inaturalist.org/observations/3882096,,118893,VAS
Fallopia convolvulus,(L.) Á. Löve,,black bindweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Polygonaceae,,,Fallopia,convolvulus,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,77129,VAS
Festuca bromoides,L.,,barren fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,bromoides,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2022-06-17,Andrew Simon,https://www.inaturalist.org/observations/122258299,,77136,VAS
Festuca microstachys var. pauciflora,Nutt.,Scribn. ex Beal,Pacific fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,microstachys,,,pauciflora,native,S4,,confirmed,observed,2003-05-01,Frank Lomer,UBC,V231298,,2017-05-29,Alexander J. Wright & Andrew Simon,https://www.inaturalist.org/observations/6434874,only V. m. paucifloraknown,1377236,VAS
Festuca myuros,L.,,rattail fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,myuros,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2020-07-12,Andrew Simon,https://www.inaturalist.org/observations/53022046,,77140,VAS
Festuca occidentalis,Hook.,,western fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,occidentalis,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2017-04-20,Andrew Simon,https://www.inaturalist.org/observations/5885844,,59091,VAS
Festuca roemeri var. roemeri,(Pavlick) E.B. Alexeev,,Roemer's fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,roemeri,,,,native,S4S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-26,Adam Huggins,http://www.inaturalist.org/observations/3405766,,240796,VAS
Festuca rubra ssp. pruinosa,L.,(Hack.) Piper,rock red fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,rubra,,pruinosa,,native,S5? (2020),,confirmed,observed,1975-05-31,Angela Wood,RBCM,V097105,1949546257,2022-06-12,Andrew Simon & Frank Lomer,https://www.inaturalist.org/observations/121538510,,181758,VAS
Festuca rubra ssp. rubra,L.,,red fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,rubra,,,,native,S5? (2020),,new 2022,observed,2022-06-11,Frank Lomer,UBC,13010,,2022-06-11,Andrew Simon & Frank Lomer,https://www.inaturalist.org/observations/121373881,Lomer reports Festuca rubra ssp. aucta (syn. Festuca rubra ssp. rubra),181759,VAS
Festuca subulata,Bong.,,bearded fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,subulata,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2021-06-27,Andrew Simon,https://www.inaturalist.org/observations/84757453,,77145,VAS
Festuca subuliflora,Scribn.,,crinkle-awned fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,subuliflora,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-05-23,Andrew Simon,https://www.inaturalist.org/observations/12763124,,77146,VAS
Festuca trachyphylla,(Hack.) Krajina,,hard fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Festuca,trachyphylla,,,,exotic,unlisted,,new 2021,observed,,,,,,2021-06-14,Eric Hagen,https://www.inaturalist.org/observations/83060940,,77148,VAS
